mass1_source,mass2_source,ra,dec,redshift,snid,mej,costheta,mass1,mass2,chirp_mass,first_detection,distance
1.7219,1.0307,23.7121,-54.3235,0.1376,17014801,0.0300,-0.9918,1.9588,1.1725,1.3108,1410826968,670.6659
1.8652,1.0460,333.9117,-24.4096,0.1549,29578798,0.0400,-0.5201,2.1541,1.2081,1.3928,1442749068,763.3144
2.0131,1.2411,17.5418,-7.6036,0.1744,64955140,0.0300,0.3580,2.3642,1.4576,1.6067,1447653955.5,869.5001
1.8672,1.1911,126.5064,-13.0372,0.2570,83231019,0.0250,0.0256,2.3472,1.4973,1.6238,1457465080.5,1342.6672
2.0141,1.2364,67.8550,-38.2872,0.0840,67102395,0.0300,0.0986,2.1834,1.3403,1.4805,1391920893,395.6164
1.9711,1.2107,160.5988,-37.7669,0.0407,69135184,0.0300,-0.8297,2.0514,1.2600,1.3914,1453947993,186.0626
1.9414,1.1082,99.1524,-58.5451,0.0720,54329791,0.0400,0.2295,2.0813,1.1880,1.3583,1385712243,336.2777
1.8381,1.0267,150.1967,-17.9613,0.1953,66658422,0.0400,-0.3431,2.1971,1.2273,1.4176,1421735305.5,985.9985
1.6494,1.0269,324.6650,-8.5271,0.0737,79813243,0.0250,-0.0169,1.7709,1.1026,1.2097,1462598793,344.5078
1.8862,1.1426,173.4278,-1.6011,0.1435,59364976,0.0300,0.4021,2.1569,1.3066,1.4524,1388478055.5,702.3168
1.6489,1.2743,127.2834,-30.0801,0.0569,23388881,0.0100,0.6481,1.7427,1.3469,1.3315,1457920030.5,262.9071
2.0002,1.2272,307.3188,1.7216,0.1552,38961434,0.0300,-0.8225,2.3107,1.4177,1.5664,1442368030.5,765.0325
1.5641,1.0128,234.0335,-32.5806,0.0753,79472676,0.0200,0.2820,1.6820,1.0891,1.1728,1432522480.5,352.5895
1.9850,1.1386,52.9719,-48.1728,0.0698,34848907,0.0400,-0.2027,2.1235,1.2180,1.3894,1388842893,325.3416
1.9414,1.5067,136.8505,-0.6588,0.1216,68594141,0.0100,0.9442,2.1776,1.6900,1.6673,1456766793,586.9133
1.6951,1.0156,160.4380,-27.0525,0.0565,15600199,0.0300,-0.8457,1.7908,1.0730,1.1989,1430650030.5,260.8421
1.9752,1.2600,150.3500,-8.7138,0.1321,27948750,0.0250,-0.7001,2.2363,1.4265,1.5471,1462786105.5,642.0228
1.3142,1.2497,321.0450,-20.6175,0.0402,48729005,0.0050,-0.6977,1.3670,1.3000,1.1604,1440055480.5,183.5677
1.9036,1.4511,339.7030,-31.0410,0.1113,4550472,0.0100,0.2756,2.1155,1.6127,1.6050,1414287693,533.7405
1.7219,1.0307,270.4529,-60.4298,0.1323,69115325,0.0300,-0.8638,1.9496,1.1671,1.3046,1432543405.5,642.6488
1.9414,1.1082,156.7187,-20.4588,0.2001,82503054,0.0400,-0.5875,2.3298,1.3299,1.5206,1458554193,1012.6052
2.0294,1.2488,75.8828,-18.2765,0.1974,7290027,0.0300,0.5909,2.4300,1.4954,1.6498,1386703143,997.6519
2.0096,1.3450,77.5994,-22.5231,0.0392,79369875,0.0200,0.4648,2.0883,1.3977,1.4814,1447556755.5,178.7286
1.8862,1.1426,116.7232,-51.4816,0.0932,80656422,0.0300,0.7906,2.0620,1.2492,1.3885,1419484855.5,441.5828
2.0002,1.2272,208.1912,-15.1401,0.0293,19665653,0.0300,0.0261,2.0589,1.2632,1.3956,1468606968,132.7618
1.9850,1.1386,31.4832,-29.2340,0.1129,35977055,0.0400,0.1667,2.2090,1.2671,1.4454,1439352130.5,541.5716
1.5836,1.0320,37.7552,-26.0045,0.0593,11133471,0.0200,-0.8496,1.6776,1.0932,1.1735,1388655580.5,274.4723
1.9276,1.0987,111.0992,-10.2564,0.0828,88806196,0.0400,0.1340,2.0872,1.1897,1.3611,1424753568,389.4813
1.9752,1.2600,352.8774,2.0761,0.1085,274237,0.0250,0.4016,2.1896,1.3967,1.5148,1475709993,519.3526
1.8652,1.0460,17.2335,-18.9008,0.0753,60990516,0.0400,-0.2391,2.0056,1.1248,1.2968,1444890168,352.3206
2.0131,1.2411,51.7422,-46.5647,0.0573,16150347,0.0300,0.4391,2.1284,1.3122,1.4465,1452939543,264.7772
2.0141,1.2364,223.4033,-33.6970,0.0781,44699474,0.0300,-0.4714,2.1713,1.3329,1.4723,1462747630.5,365.9504
1.9149,1.0903,96.8439,-19.8482,0.0811,15000661,0.0400,0.3528,2.0703,1.1787,1.3493,1388169918,381.2381
1.7286,1.0937,355.4977,-52.3644,0.0966,35112319,0.0250,-0.1120,1.8957,1.1994,1.3059,1447316455.5,458.8277
1.9233,1.2330,219.9602,-6.8998,0.1455,87066245,0.0250,-0.5897,2.2031,1.4124,1.5282,1432491768,712.7226
1.9414,1.1082,55.1837,-16.8126,0.0826,62092717,0.0400,0.5968,2.1017,1.1997,1.3717,1478780230.5,388.2806
1.8381,1.0267,42.5714,-31.5177,0.0925,61752704,0.0400,-0.9738,2.0081,1.1217,1.2956,1420293843,437.8435
1.8862,1.1426,52.3766,-40.9409,0.1574,90348,0.0300,-0.9983,2.1832,1.3225,1.4701,1451938518,777.0489
2.0002,1.2272,245.2342,-10.8811,0.1137,61973105,0.0300,0.6554,2.2276,1.3667,1.5100,1470915805.5,545.8169
2.0101,1.2973,126.3797,-17.5003,0.0681,41807482,0.0250,-0.5870,2.1469,1.3856,1.4944,1417583043,316.9063
1.9850,1.1386,129.4849,-19.9183,0.1129,2850234,0.0400,0.4958,2.2091,1.2671,1.4455,1417723443,541.8867
1.8797,1.0620,153.1705,-14.5163,0.1009,15289402,0.0400,0.9050,2.0693,1.1691,1.3432,1420349193,480.2538
1.6951,1.0156,190.8786,-33.0065,0.0859,33458746,0.0300,0.2786,1.8408,1.1029,1.2324,1428796818,405.0843
1.7998,1.0073,338.6287,-14.3954,0.0569,12943988,0.0400,-0.4170,1.9023,1.0647,1.2287,1472269855.5,263.1199
1.9427,1.1951,137.4723,-15.4151,0.1256,88814604,0.0300,0.0825,2.1867,1.3452,1.4844,1426283793,607.6423
1.8652,1.0460,164.4200,-12.5655,0.1799,77424644,0.0400,-0.4261,2.2006,1.2342,1.4229,1427837643,899.7553
1.5542,1.0088,90.9147,-29.2808,0.0954,5275127,0.0200,0.0472,1.7025,1.1050,1.1885,1414274193,452.6369
1.6893,1.1208,346.5793,-30.9618,0.1272,45721014,0.0200,0.3868,1.9042,1.2635,1.3447,1408704430.5,616.2855
1.9233,1.2330,166.9568,-42.8571,0.1324,87696129,0.0250,0.6224,2.1780,1.3963,1.5107,1392182793,643.4541
1.7570,1.1034,31.9880,-18.3736,0.0962,28560187,0.0250,-0.2909,1.9261,1.2095,1.3216,1442246868,456.7831
1.9414,1.1082,177.6983,-21.1914,0.1151,4029412,0.0400,-0.6759,2.1650,1.2358,1.4129,1464423993,553.2863
1.8381,1.0267,24.7704,-13.5304,0.1205,37259723,0.0400,-0.4134,2.0596,1.1505,1.3289,1448698180.5,581.2862
1.6233,1.2443,336.7805,-51.5723,0.0314,88810678,0.0100,-0.2130,1.6743,1.2834,1.2739,1478693493,142.4358
2.0176,1.1600,182.9567,-8.6171,0.1157,51505939,0.0400,-0.2282,2.2510,1.2942,1.4747,1426938880.5,556.0078
1.8862,1.1426,317.6646,-50.7129,0.0433,4615801,0.0300,-0.9158,1.9678,1.1921,1.3251,1467063918,198.0688
2.0101,1.2973,323.1173,-37.6406,0.1703,5413043,0.0250,0.2889,2.3523,1.5182,1.6373,1411491843,846.7838
1.8434,1.1139,186.0047,-7.1147,0.0347,88856736,0.0300,-0.8062,1.9074,1.1526,1.2827,1402386093,157.8191
1.9850,1.1386,328.9161,-9.6341,0.2731,15409032,0.0400,0.3341,2.5270,1.4495,1.6534,1414107130.5,1438.6297
1.5836,1.0320,312.4276,-60.6903,0.0952,22907172,0.0200,0.6783,1.7344,1.1302,1.2133,1412913393,451.6624
1.4798,1.1415,35.6315,-16.5581,0.1134,81362593,0.0100,-0.6681,1.6475,1.2710,1.2576,1414176993,544.2289
1.6951,1.0156,284.7905,-49.3360,0.0497,10414090,0.0300,0.9327,1.7793,1.0660,1.1912,1410464830.5,228.2450
1.9752,1.2600,4.3031,-33.6158,0.1584,27599402,0.0250,-0.1475,2.2881,1.4595,1.5829,1405163718,782.1424
1.9414,1.1082,296.9259,-37.8676,0.1073,13721011,0.0400,-0.4811,2.1497,1.2271,1.4030,1443762243,512.9454
2.0294,1.2488,193.7228,0.9179,0.0925,85169493,0.0300,0.2307,2.2171,1.3643,1.5052,1458230868,437.8921
1.8381,1.0267,0.7327,-34.3569,0.2374,61637300,0.0400,-0.3911,2.2744,1.2705,1.4675,1475650255.5,1227.0143
1.6494,1.0269,172.4110,-47.3254,0.1050,64459985,0.0250,0.6684,1.8226,1.1348,1.2451,1391468305.5,501.4880
1.8862,1.1426,191.3487,-26.7674,0.1817,82737010,0.0300,0.3560,2.2288,1.3502,1.5008,1431542380.5,909.7015
2.0101,1.2973,223.1781,-39.6742,0.1565,2607992,0.0250,-0.0758,2.3247,1.5004,1.6181,1397135268,772.0192
1.8434,1.1139,168.1855,-5.9135,0.2426,37932477,0.0300,0.7412,2.2906,1.3841,1.5404,1458279805.5,1257.4917
1.8293,1.2298,150.5074,-31.1441,0.0296,72984732,0.0200,0.6358,1.8834,1.2662,1.3391,1430686143,134.0294
1.9850,1.1386,322.3040,-50.8067,0.1702,50508997,0.0400,-0.5614,2.3229,1.3324,1.5199,1442420680.5,846.6504
1.8797,1.0620,150.4881,-9.3783,0.0905,80418140,0.0400,0.2349,2.0499,1.1581,1.3306,1426985793,427.9492
1.9910,1.2747,24.5810,-18.6756,0.0385,53638955,0.0250,0.5579,2.0677,1.3238,1.4332,1389142593,175.6804
1.5389,1.0056,319.4629,-26.7687,0.1935,31462651,0.0200,-0.9369,1.8367,1.2002,1.2867,1433285568,975.9796
1.6951,1.0156,64.9142,-30.1818,0.1687,23456303,0.0300,0.9016,1.9810,1.1869,1.3262,1414125693,838.1260
1.7998,1.0073,218.4665,-4.8018,0.0547,26312361,0.0400,0.5760,1.8983,1.0624,1.2261,1391492605.5,252.3328
1.6266,1.0821,6.5781,-25.2122,0.0648,74446896,0.0200,-0.6774,1.7321,1.1522,1.2248,1449291168,301.1341
1.9850,1.1386,297.1693,-37.6680,0.0417,799836,0.0400,-0.5400,2.0677,1.1860,1.3529,1469331918,190.4945
1.9910,1.2747,16.3637,-33.9198,0.1116,64624285,0.0250,0.0111,2.2133,1.4170,1.5341,1438481380.5,535.2647
1.9276,1.0987,113.2431,-4.8867,0.1247,12360750,0.0400,0.2121,2.1679,1.2357,1.4138,1422120393,602.8319
1.7998,1.0073,163.8295,-48.0044,0.0946,28459311,0.0400,-0.7105,1.9702,1.1026,1.2725,1420687368,448.7161
1.9427,1.1951,33.5305,-18.0324,0.2295,70766631,0.0300,-0.8744,2.3886,1.4695,1.6215,1478306043,1181.3180
1.8652,1.0460,190.5930,-17.2339,0.1039,43372923,0.0400,-0.6079,2.0590,1.1547,1.3313,1426446130.5,495.6998
1.8563,1.0511,180.5092,-0.5697,0.1823,39155179,0.0400,0.1809,2.1946,1.2426,1.4262,1427835618,913.0202
2.0131,1.2411,103.5277,-43.1481,0.0570,49902798,0.0300,-0.7468,2.1279,1.3119,1.4461,1424588868,263.5247
1.8672,1.1911,154.2732,-34.4322,0.2094,61050511,0.0250,0.4067,2.2583,1.4406,1.5623,1454649655.5,1065.6962
2.0141,1.2364,190.4963,-2.8167,0.1184,57774976,0.0300,-0.9137,2.2525,1.3827,1.5273,1459705405.5,569.9646
1.9711,1.2107,65.8214,-35.0129,0.1541,54054205,0.0300,-0.9025,2.2748,1.3972,1.5429,1423563880.5,758.7197
1.9149,1.0903,70.9386,-8.5099,0.2797,46261639,0.0400,-0.3610,2.4505,1.3952,1.5971,1475228718,1478.6790
1.7286,1.0937,93.0044,-48.0210,0.1734,37465420,0.0250,0.5179,2.0283,1.2833,1.3972,1415908705.5,863.9437
1.6951,1.0156,159.6468,-31.1932,0.1223,11402960,0.0300,-0.4705,1.9024,1.1398,1.2736,1455128905.5,590.4006
1.7998,1.0073,193.6761,-42.5609,0.0574,88462036,0.0400,0.4164,1.9032,1.0651,1.2292,1396945593,265.3092
1.9427,1.1951,56.3190,-1.3003,0.0486,70490794,0.0300,0.7622,2.0371,1.2532,1.3828,1384990330.5,223.1472
1.8652,1.0460,98.4705,-16.7560,0.0413,54918534,0.0400,-0.7659,1.9423,1.0893,1.2559,1423383993,188.9336
2.0131,1.2411,192.8747,-36.8385,0.0403,44332408,0.0300,0.1888,2.0942,1.2911,1.4232,1424222343,184.0347
2.0141,1.2364,208.4449,-26.2930,0.1015,57897992,0.0300,0.0642,2.2186,1.3619,1.5043,1457614930.5,483.5268
2.0084,1.2823,315.3036,-58.2289,0.0354,21260040,0.0250,-0.1863,2.0796,1.3278,1.4394,1407591018,161.2433
1.9150,1.2236,77.2175,-51.6551,0.0621,77288847,0.0250,0.0962,2.0340,1.2996,1.4083,1392691068,288.1368
1.9149,1.0903,128.6495,-13.5298,0.0466,67511,0.0400,0.6859,2.0041,1.1411,1.3062,1389329568,213.7309
1.6335,1.0803,92.3780,-57.8220,0.0612,79798092,0.0200,0.0709,1.7334,1.1464,1.2220,1457517730.5,283.4932
2.0100,1.2491,336.1829,-14.4220,0.2112,23102947,0.0300,-0.3838,2.4345,1.5129,1.6614,1466606268,1075.9423
2.0443,1.2669,193.7432,-42.1322,0.1088,27051018,0.0300,0.9531,2.2667,1.4047,1.5446,1458201505.5,520.6236
1.9087,1.0890,291.4791,-43.3546,0.1222,1731749,0.0400,-0.4334,2.1419,1.2220,1.3975,1401415443,589.7165
1.9305,1.0972,162.3690,-37.7864,0.0403,17872517,0.0400,0.9958,2.0082,1.1414,1.3077,1394903043,183.9213
1.9276,1.0987,175.9863,-17.1400,0.1682,70508415,0.0400,-0.1302,2.2519,1.2835,1.4686,1455963205.5,835.8185
1.5389,1.0056,181.8383,-39.0473,0.0329,64723231,0.0200,0.0708,1.5894,1.0386,1.1135,1420275955.5,149.2175
1.4375,1.3188,139.3221,-41.2520,0.0264,19031260,0.0050,0.8288,1.4755,1.3537,1.2301,1421478130.5,119.4564
1.9752,1.2600,10.3677,-34.7051,0.0958,72391461,0.0250,0.0502,2.1644,1.3807,1.4974,1444999518,454.4190
1.7219,1.0307,326.2695,-12.9931,0.0757,30922025,0.0300,0.4770,1.8523,1.1088,1.2395,1464301480.5,354.5823
1.7066,1.0214,120.4589,-3.0762,0.0455,40338863,0.0300,-0.4058,1.7842,1.0679,1.1938,1419678918,208.3592
1.7665,1.1761,271.9905,-49.4061,0.0759,21211666,0.0200,-0.1518,1.9005,1.2653,1.3445,1429803918,355.2729
2.0131,1.2411,188.3642,-39.7823,0.0557,37271168,0.0300,0.6871,2.1253,1.3103,1.4444,1429885593,257.3476
2.0141,1.2364,194.4632,-25.5917,0.0264,77975375,0.0300,-0.1746,2.0673,1.2690,1.4018,1429334118,119.3264
1.4058,1.0748,217.6481,-45.7900,0.0646,41594736,0.0100,-0.8350,1.4967,1.1443,1.1372,1423338768,300.2729
2.0084,1.2823,20.4907,-47.7289,0.0954,57082073,0.0250,0.6188,2.2000,1.4047,1.5227,1436922468,452.4429
1.9149,1.0903,86.8356,-40.6699,0.1046,48946048,0.0400,0.3258,2.1151,1.2043,1.3785,1394392405.5,499.0301
1.4402,1.0933,110.1928,-39.5089,0.1265,23086028,0.0100,-0.7736,1.6224,1.2316,1.2282,1389141580.5,612.2422
1.9087,1.0890,345.8363,-37.2113,0.1294,16902795,0.0400,0.7823,2.1557,1.2299,1.4065,1468189143,627.4763
1.6951,1.0156,30.3213,-57.5936,0.0668,45284318,0.0300,-0.7707,1.8083,1.0834,1.2106,1470046743,310.7724
1.5831,1.1996,184.5313,-8.2326,0.1097,9302379,0.0100,-0.7207,1.7568,1.3312,1.3288,1421964130.5,525.5107
1.9752,1.2600,82.1176,-49.2245,0.0402,33836153,0.0250,0.6638,2.0546,1.3106,1.4214,1452648955.5,183.3694
1.7665,1.1761,32.5819,3.6115,0.0932,5429269,0.0200,0.4107,1.9311,1.2857,1.3661,1416575268,441.3480
1.7589,1.1771,135.8253,-23.7639,0.0862,85586523,0.0200,-0.7179,1.9106,1.2786,1.3552,1388507755.5,406.6296
1.8652,1.0460,57.8256,-45.3337,0.2148,73203157,0.0400,0.0545,2.2658,1.2707,1.4651,1414383205.5,1096.5094
1.5542,1.0088,51.6671,-53.2265,0.1209,17608581,0.0200,0.1977,1.7420,1.1307,1.2161,1475110930.5,582.9706
1.6893,1.1208,337.2788,-50.8106,0.0610,48915190,0.0200,-0.9460,1.7924,1.1893,1.2657,1441848618,282.8716
1.8563,1.0511,67.8825,-7.9960,0.0956,3336263,0.0400,-0.7850,2.0337,1.1516,1.3217,1388951230.5,453.6392
2.0182,1.1612,160.6502,-6.2719,0.1433,57773500,0.0400,-0.9300,2.3074,1.3277,1.5123,1394191255.5,701.1361
1.8672,1.1911,208.2770,-29.0362,0.1866,14392782,0.0250,0.8102,2.2156,1.4134,1.5328,1426759668,936.9988
2.0141,1.2364,162.4422,-37.8687,0.2044,61455083,0.0300,0.3117,2.4259,1.4891,1.6449,1425352630.5,1037.3646
1.9711,1.2107,177.9348,-2.0592,0.1085,48289535,0.0300,0.0197,2.1851,1.3421,1.4820,1457199130.5,519.3024
1.9149,1.0903,184.3269,-19.3201,0.1787,23438488,0.0400,0.3824,2.2570,1.2851,1.4710,1467023755.5,893.1060
1.8227,1.0225,29.3236,-0.9517,0.0745,83698263,0.0400,0.1475,1.9585,1.0987,1.2665,1449374868,348.4583
1.8652,1.0460,39.8302,-3.8145,0.1063,82137615,0.0400,-0.9424,2.0635,1.1573,1.3342,1412283280.5,508.0955
1.8563,1.0511,338.1591,-50.8781,0.1081,3211908,0.0400,0.5553,2.0570,1.1647,1.3368,1411686580.5,517.3466
2.0182,1.1612,136.8147,-9.8693,0.0853,10107593,0.0400,0.4249,2.1904,1.2603,1.4355,1420373155.5,401.9898
1.8566,1.0486,110.3721,-42.5297,0.2019,71632287,0.0400,-0.8972,2.2314,1.2603,1.4482,1455797830.5,1022.9444
1.7462,1.3239,303.7975,-15.2278,0.0678,11201641,0.0100,0.6337,1.8647,1.4137,1.4108,1413006205.5,315.8471
1.5186,1.1673,356.5450,-38.2784,0.0836,55898476,0.0100,-0.2585,1.6455,1.2649,1.2538,1470354205.5,393.3077
2.0141,1.2364,315.3115,1.5559,0.0295,70613392,0.0300,-0.5186,2.0735,1.2728,1.4059,1444954293,133.4362
2.0084,1.2823,213.5753,3.0033,0.1093,52329579,0.0250,-0.0985,2.2279,1.4225,1.5421,1462896468,523.1684
1.7129,1.1467,93.2602,-19.6810,0.0795,7262730,0.0200,-0.3479,1.8492,1.2379,1.3119,1449296230.5,373.2198
1.9711,1.2107,9.3998,-8.9674,0.1322,18816366,0.0300,0.2996,2.2317,1.3707,1.5137,1412223880.5,642.3443
2.0100,1.2491,8.1866,-60.4709,0.1391,14072711,0.0300,-0.1999,2.2896,1.4229,1.5625,1386548230.5,678.9835
1.9087,1.0890,93.4872,-20.6377,0.1112,58532937,0.0400,-0.1025,2.1209,1.2100,1.3838,1454667880.5,532.7915
1.5900,1.0313,353.5416,-30.6404,0.0310,77252952,0.0200,-0.0281,1.6393,1.0633,1.1440,1404018243,140.6488
1.6079,1.0415,93.3825,-21.9640,0.0954,69809752,0.0200,0.6448,1.7612,1.1408,1.2282,1386150993,452.3133
1.8040,1.2043,177.8073,-57.7219,0.0885,1704857,0.0200,-0.3317,1.9637,1.3109,1.3911,1394453155.5,417.9495
1.8227,1.0225,82.8747,-21.5485,0.0852,6418473,0.0400,-0.6309,1.9779,1.1096,1.2791,1423760305.5,401.2075
1.8652,1.0460,75.9624,-40.9976,0.0956,41623826,0.0400,-0.8857,2.0435,1.1460,1.3213,1388842555.5,453.5746
1.8672,1.1911,101.0516,-34.9493,0.0514,20805917,0.0250,0.8804,1.9632,1.2524,1.3582,1423067418,236.5598
2.0141,1.2364,175.5825,1.8088,0.0850,47037273,0.0300,0.1731,2.1854,1.3415,1.4818,1458240655.5,400.5439
1.9711,1.2107,75.7946,-48.6679,0.0503,5069678,0.0300,-0.4948,2.0702,1.2716,1.4042,1453494393,231.1956
1.9149,1.0903,196.6099,-42.3626,0.0960,22618945,0.0400,-0.4143,2.0988,1.1950,1.3679,1400522080.5,455.8111
1.9087,1.0890,72.3474,-16.1082,0.0786,37525680,0.0400,0.7020,2.0587,1.1746,1.3432,1392523330.5,368.4494
1.9983,1.2239,211.2351,-51.2282,0.0569,74271953,0.0300,-0.4706,2.1119,1.2935,1.4303,1421849718,262.6485
2.0208,1.2903,324.7150,-57.1393,0.1190,7863051,0.0250,-0.0080,2.2613,1.4439,1.5652,1404452943,573.4761
1.7062,1.0695,231.6255,-17.2056,0.1961,75900088,0.0250,0.4898,2.0407,1.2792,1.3990,1427688130.5,990.1274
1.2489,1.1414,97.0048,-52.5266,0.0369,43221067,0.0050,0.6085,1.2949,1.1834,1.0775,1387352155.5,167.8880
1.8674,1.0588,221.9426,-31.1308,0.0450,25232298,0.0400,-0.3779,1.9516,1.1065,1.2691,1470399093,206.3441
1.9427,1.1951,86.8245,-37.0175,0.1729,50297257,0.0300,-0.5630,2.2787,1.4018,1.5468,1422369468,861.5541
1.8652,1.0460,168.4850,-18.7785,0.1594,22751445,0.0400,-0.1765,2.1625,1.2128,1.3982,1396881468,787.5997
2.0131,1.2411,304.2933,-14.8431,0.0752,56476455,0.0300,-0.0310,2.1645,1.3344,1.4710,1406921080.5,351.7872
1.7462,1.3239,317.5869,-31.0669,0.0287,72651858,0.0100,0.8970,1.7963,1.3619,1.3590,1478314480.5,129.8705
2.0141,1.2364,348.4818,-38.1371,0.1406,44867474,0.0300,-0.0924,2.2973,1.4102,1.5577,1417293468,686.5424
1.9149,1.0903,92.6639,-30.9829,0.1871,18543081,0.0400,0.3125,2.2732,1.2943,1.4816,1388320443,940.1014
1.7286,1.0937,217.5740,-32.4161,0.0819,16195989,0.0250,-0.5492,1.8702,1.1832,1.2883,1462763155.5,384.9454
1.9087,1.0890,220.4156,-44.7848,0.0868,59145404,0.0400,0.2887,2.0744,1.1835,1.3535,1427251743,409.3172
1.9305,1.0972,47.1661,-1.1191,0.1425,76565299,0.0400,-0.6400,2.2056,1.2536,1.4362,1411259643,696.9232
1.8782,1.0678,347.0573,-54.3596,0.1425,85534010,0.0400,-0.5731,2.1458,1.2199,1.3974,1414539805.5,696.7652
1.9364,1.0968,176.4332,-41.9586,0.2389,22171033,0.0400,0.9242,2.3990,1.3588,1.5593,1421994168,1235.9466
2.0340,1.2617,184.7249,-43.7550,0.1751,62169211,0.0300,-0.1435,2.3902,1.4826,1.6296,1404417505.5,873.5843
1.8500,1.1253,310.7766,-11.9122,0.1174,48236965,0.0300,0.3764,2.0673,1.2574,1.3950,1470756505.5,565.1597
1.9985,1.1448,129.9658,-53.3741,0.0336,16010617,0.0400,-0.5666,2.0656,1.1832,1.3506,1384791205.5,152.5211
1.8652,1.0460,40.4071,-6.5888,0.0482,26560331,0.0400,-0.5245,1.9551,1.0965,1.2641,1388620480.5,221.3259
1.5542,1.0088,234.3490,-16.0785,0.1851,73218626,0.0200,0.8757,1.8418,1.1954,1.2858,1460419555.5,928.6403
1.8672,1.1911,126.9225,-7.4267,0.0320,56984468,0.0250,-0.8133,1.9270,1.2292,1.3331,1453591255.5,145.1484
1.9149,1.0903,346.3796,-4.0262,0.0513,77839162,0.0400,-0.1936,2.0132,1.1462,1.3121,1478429568,236.1385
2.0100,1.2491,64.2639,-2.2343,0.1610,59114026,0.0300,0.6740,2.3336,1.4502,1.5925,1476458905.5,796.3638
1.8374,1.2430,136.9419,-28.6118,0.1007,59150181,0.0200,-0.5421,2.0226,1.3682,1.4427,1426429930.5,479.6169
1.9684,1.2709,61.0395,-6.1939,0.1468,18316005,0.0250,0.0095,2.2574,1.4575,1.5716,1416501018,720.0213
1.3079,1.2663,204.8390,-2.2460,0.0435,56559990,0.0050,0.8365,1.3647,1.3214,1.1690,1456845768,198.9387
1.9983,1.2239,206.9142,-49.2450,0.0952,65309197,0.0300,-0.0488,2.1885,1.3404,1.4822,1395914530.5,451.4265
2.0276,1.2510,283.5008,-34.8042,0.0328,85139170,0.0300,0.4022,2.0940,1.2919,1.4236,1406380743,148.7108
2.0434,1.2655,106.4649,-15.7334,0.0362,25427577,0.0300,-0.1808,2.1174,1.3113,1.4424,1428220368,164.7874
1.6893,1.1118,195.6003,-44.2733,0.0557,84325186,0.0200,0.3477,1.7833,1.1737,1.2540,1425055968,256.8903
1.8674,1.0588,351.0565,-5.4169,0.1076,11319030,0.0400,0.9072,2.0684,1.1728,1.3452,1401555843,514.7064
1.5008,1.1340,110.1943,-3.4012,0.0376,64916422,0.0100,-0.1264,1.5573,1.1767,1.1761,1428425568,171.5376
1.8195,1.3803,344.6664,-35.1157,0.1474,52093101,0.0100,-0.2574,2.0876,1.5837,1.5799,1447662393,722.9008
1.7219,1.0307,84.2984,-37.6833,0.1888,4563592,0.0300,-0.0236,2.0469,1.2253,1.3697,1394243905.5,949.2666
1.7665,1.1761,6.8296,-19.4692,0.2025,19332008,0.0200,0.3543,2.1241,1.4142,1.5026,1409670693,1026.1581
1.7589,1.1771,191.4101,-51.4614,0.1006,23015638,0.0200,-0.0606,1.9358,1.2955,1.3731,1435643680.5,478.7298
1.5849,1.0286,140.3547,2.7980,0.0797,63149659,0.0200,-0.1862,1.7113,1.1106,1.1946,1426613530.5,374.3271
1.9744,1.2614,73.4944,-58.0516,0.0933,41175078,0.0250,-0.3909,2.1586,1.3791,1.4946,1414791580.5,442.0004
1.7970,1.2076,299.1401,-37.3610,0.0491,15908315,0.0200,-0.1093,1.8851,1.2668,1.3400,1442333605.5,225.4360
1.8652,1.0460,123.8016,-18.1810,0.2341,72284192,0.0400,0.0418,2.3018,1.2909,1.4883,1389311680.5,1207.9542
1.8563,1.0511,176.4613,-23.3919,0.1518,76868851,0.0400,0.2662,2.1380,1.2106,1.3894,1391819980.5,746.5135
1.5840,1.1929,179.1879,-33.1214,0.0339,6090826,0.0100,-0.0617,1.6377,1.2333,1.2347,1460907580.5,153.8575
2.0131,1.2411,297.3178,-1.0302,0.2068,7104359,0.0300,-0.8043,2.4295,1.4978,1.6511,1399464355.5,1050.9079
1.8672,1.1911,61.1639,-55.7543,0.0526,82637134,0.0250,0.9181,1.9655,1.2538,1.3598,1441164843,242.4342
1.6728,1.0393,101.2641,-38.5407,0.1105,43752482,0.0250,0.2313,1.8577,1.1542,1.2676,1418561118,529.6767
1.9149,1.0903,24.3422,3.4607,0.1541,59318308,0.0400,-0.1605,2.2101,1.2583,1.4404,1473466968,759.2108
1.8652,1.0460,12.7203,-30.4633,0.0825,47290356,0.0400,0.0585,2.0191,1.1324,1.3055,1417793980.5,388.1055
1.8563,1.0511,294.9348,-16.1996,0.0945,72637639,0.0400,-0.2298,2.0318,1.1504,1.3204,1469879005.5,448.2509
2.0182,1.1612,63.2912,-25.1244,0.2062,20583909,0.0400,0.4909,2.4344,1.4007,1.5955,1419262443,1047.6410
2.0131,1.2411,33.4229,-10.3765,0.0935,43070622,0.0300,-0.1248,2.2014,1.3572,1.4961,1447683993,443.2224
1.5722,1.0284,316.1321,-26.2102,0.2107,42659798,0.0200,0.2202,1.9034,1.2451,1.3342,1413612018,1072.8045
1.7048,1.1189,70.3501,-4.2383,0.2112,56141655,0.0200,0.1687,2.0649,1.3552,1.4499,1416900280.5,1076.0713
2.0141,1.2364,147.6050,-17.2523,0.2080,22146730,0.0300,-0.0885,2.4331,1.4936,1.6498,1458303093,1057.6288
